supermarket,no_of_items,variation,total,Payment Method,date,mall,time,time_type,type_market,location,loc_category,day,day_type,24hr,Gender,Weekly_Income_in_`000 (ksh),Spending_Score_(1-100),Age,Income Cluster
tuskys,1,1,2436,card,2017-10-07,no,20:58:00,night,chain,cbd,mid,Friday,weekday,no,Female,103.0,85.0,36.0,1.0
tuskys,5,3,2449,card,2017-06-30,no,19:39:00,night,chain,cbd,mid,Friday,weekday,no,Female,103.0,23.0,34.0,3.0
cleanshelf,8,2,2434,card,2017-09-22,no,17:02:00,evening,chain,Westlands,mid,Friday,weekday,no,Female,103.0,69.0,32.0,1.0
nakumatt,4,4,2480,mpesa,2017-07-04,no,20:16:00,night,chain,cbd,mid,Friday,weekday,yes,Male,113.0,8.0,33.0,3.0
tuskys,2,2,2390,card,2017-09-06,no,21:58:00,night,chain,cbd,mid,Friday,weekday,no,Female,113.0,91.0,38.0,1.0
tuskys,1,1,2392,card,2017-09-06,no,20:10:00,night,chain,cbd,mid,Friday,weekday,no,Female,120.0,16.0,47.0,3.0
ukwala,1,1,2446,card,2017-09-06,no,17:51:00,evening,chain,cbd,mid,Friday,weekday,no,Female,120.0,79.0,35.0,1.0
ukwala,1,1,2427,card,2017-09-06,no,16:58:00,evening,chain,cbd,mid,Friday,weekday,no,Female,126.0,28.0,45.0,3.0
tuskys,1,1,2392,card,2017-09-06,no,20:53:00,night,chain,cbd,mid,Friday,weekday,no,Male,126.0,74.0,32.0,1.0
ukwala,1,1,2200,card,2017-09-06,no,16:58:00,evening,chain,cbd,mid,Friday,weekday,no,Male,137.0,18.0,32.0,3.0
ukwala,1,2,2451,card,2017-09-06,no,19:09:00,night,chain,cbd,mid,Friday,weekday,no,Male,137.0,83.0,30.0,1.0
ukwala,3,2,2402,card,2017-09-06,no,13:47:00,afternoon,chain,cbd,mid,Friday,weekday,no,Male,,,,
tuskys,2,1,2474,card,2017-09-06,no,22:00:00,night,chain,cbd,mid,Friday,weekday,no,Male,,,,
ukwala,1,1,2472,card,2017-09-06,no,18:58:00,evening,chain,cbd,mid,Friday,weekday,no,Female,,,,
ukwala,2,3,2401,card,2017-09-06,no,14:17:00,afternoon,chain,cbd,mid,Friday,weekday,no,Female,,,,
ukwala,2,1,2413,card,2017-09-06,no,19:04:00,night,chain,cbd,mid,Friday,weekday,no,Female,,,,
ukwala,1,1,2405,card,2017-09-06,no,18:58:00,evening,chain,cbd,mid,Friday,weekday,no,Female,,,,
tuskys,4,3,2469,card,2017-09-06,no,20:00:00,night,chain,cbd,mid,Friday,weekday,no,Female,,,,
ukwala,1,1,2200,card,2017-09-06,no,14:34:00,afternoon,chain,cbd,mid,Friday,weekday,no,Female,,,,
ukwala,1,1,2461,card,2017-09-06,no,19:23:00,night,chain,cbd,mid,Friday,weekday,no,Male,,,,
tuskys,3,3,2435,card,2017-09-06,no,15:07:00,afternoon,chain,cbd,mid,Friday,weekday,no,Female,,,,
tuskys,2,2,2471,card,2017-09-06,no,21:28:00,night,chain,cbd,mid,Friday,weekday,no,Male,,,,
nakumatt,1,1,2432,card,2017-06-30,no,16:41:00,evening,chain,cbd,mid,Friday,weekday,yes,Female,,,,
nakumatt,3,2,2250,card,2017-06-16,no,04:17:00,morning,chain,cbd,mid,Friday,weekday,yes,Female,,,,
naivas,1,1,2467,card,2017-05-19,no,15:22:00,afternoon,chain,umoja,mid,Friday,weekday,no,Female,,,,
tuskys,1,1,2405,card,2017-06-23,no,17:56:00,evening,chain,cbd,mid,Friday,weekday,no,Male,,,,
tuskys,3,1,2250,card,2017-05-19,no,12:06:00,afternoon,chain,donholm,mid,Friday,weekday,no,Male,,,,
naivas,3,2,2413,card,2017-05-19,no,19:42:00,evening,chain,umoja,mid,Friday,weekday,no,Female,,,,
naivas,2,2,2411,card,2017-05-19,no,15:50:00,afternoon,chain,umoja,mid,Friday,weekday,no,Male,,,,
naivas,4,1,2474,card,2017-05-19,no,16:49:00,evening,chain,umoja,mid,Friday,weekday,no,Male,,,,
tuskys,5,3,2250,card,2017-06-30,no,19:39:00,night,chain,cbd,mid,Friday,weekday,no,Female,,,,
cleanshelf,8,2,2250,card,2017-09-22,no,17:02:00,evening,chain,Westlands,mid,Friday,weekday,no,Male,,,,
naivas,1,1,2427,card,2017-05-19,no,20:10:00,night,chain,umoja,mid,Friday,weekday,no,Male,,,,
naivas,7,1,2415,card,2017-12-05,no,15:46:00,evening,chain,umoja,mid,Friday,weekday,no,Female,,,,
naivas,1,1,2434,card,2017-05-19,no,15:16:00,evening,chain,umoja,mid,Friday,weekday,no,Male,,,,
nakumatt,2,2,2416,mpesa,2017-07-21,yes,22:01:00,night,chain,junction,high,Friday,weekday,yes,Female,,,,
nakumatt,1,1,2442,card,2017-05-26,yes,11:02:00,morning,chain,junction,high,Friday,weekday,yes,Male,,,,
nakumatt,1,1,2396,card,2017-02-06,yes,14:34:00,afternoon,chain,junction,high,Friday,weekday,yes,Female,,,,
tuskys,3,2,2436,card,2017-06-30,no,19:00:00,night,chain,cbd,mid,Friday,weekday,no,Male,,,,
tuskys,2,1,2430,card,2017-06-23,no,21:58:00,night,chain,cbd,mid,Friday,weekday,no,Female,,,,
nakumatt,3,2,2422,card,2017-06-30,no,19:54:00,night,chain,cbd,mid,Friday,weekday,yes,Female,,,,
nakumatt,1,1,2438,card,2017-03-27,yes,19:34:00,night,chain,kilimani,high,Monday,weekday,no,Male,,,,
acacia,1,1,2454,card,2017-05-15,no,14:06:00,afternoon,small,saika,mid,Monday,weekday,no,Female,,,,
nakumatt,4,2,2437,mpesa,2016-11-28,yes,06:49:00,morning,chain,kilimani,high,Monday,weekday,no,Male,,,,
acacia,1,1,2438,card,2017-05-22,no,14:10:00,afternoon,small,saika,mid,Monday,weekday,no,Male,,,,
acacia,1,1,2409,card,2017-05-22,no,13:21:00,afternoon,small,saika,mid,Monday,weekday,no,Female,,,,
acacia,1,1,2389,card,2017-05-22,no,13:47:00,afternoon,small,saika,mid,Monday,weekday,no,Female,,,,
tuskys,4,1,2453,card,2017-05-22,yes,13:32:00,afternoon,chain,donholm,mid,Monday,weekday,no,Female,,,,
tuskys,9,3,2454,card,2017-05-22,yes,10:51:00,morning,chain,donholm,mid,Monday,weekday,no,Female,,,,
naivas,2,1,2425,card,2017-05-22,no,14:36:00,afternoon,chain,umoja,mid,Monday,weekday,no,Female,,,,
naivas,1,1,2427,card,2017-05-22,no,12:23:00,afternoon,chain,umoja,mid,Monday,weekday,no,Female,,,,
naivas,1,1,2456,card,2017-05-22,no,14:00:00,afternoon,chain,umoja,mid,Monday,weekday,no,Female,,,,
acacia,1,1,2455,card,2017-05-22,no,14:01:00,afternoon,small,saika,mid,Monday,weekday,no,Male,,,,
naivas,4,2,2452,card,2017-05-22,no,14:26:00,afternoon,chain,umoja,mid,Monday,weekday,no,Male,,,,
tuskys,1,1,2417,card,2017-05-08,yes,15:49:00,afternoon,chain,donholm,mid,Monday,weekday,no,Female,,,,
acacia,3,2,2477,card,2017-05-22,no,15:07:00,afternoon,small,saika,mid,Monday,weekday,no,Female,,,,
uchumi,2,2,2436,card,2017-05-29,no,20:23:00,night,chain,cbd,mid,Monday,weekday,no,Female,,,,
nakumatt,10,3,2444,mpesa,2017-05-06,no,21:22:00,night,chain,cbd,mid,Monday,weekday,yes,Female,,,,
tuskys,7,3,2464,mpesa,2017-05-06,no,21:32:00,night,chain,cbd,mid,Monday,weekday,no,Female,,,,
tuskys,2,1,2402,mpesa,2017-05-06,no,21:41:00,night,chain,cbd,mid,Monday,weekday,no,Female,,,,
nakumatt,1,1,2459,card,2017-05-06,no,17:23:00,afternoon,chain,cbd,mid,Monday,weekday,yes,Female,,,,
nakumatt,1,1,2424,card,2017-05-06,no,16:57:00,afternoon,chain,cbd,mid,Monday,weekday,yes,Female,,,,
ukwala,1,1,2429,card,2017-05-06,no,20:31:00,night,median,cbd,mid,Monday,weekday,no,Male,,,,
nakumatt,2,1,2444,card,2017-05-06,no,17:14:00,afternoon,chain,cbd,mid,Monday,weekday,yes,Female,,,,
nakumatt,1,1,2417,card,2017-05-06,no,20:24:00,night,chain,cbd,mid,Monday,weekday,yes,Male,,,,
ukwala,1,1,2413,card,2017-05-06,no,16:27:00,afternoon,median,cbd,mid,Monday,weekday,no,Female,,,,
nakumatt,2,1,2488,card,2017-05-06,no,16:50:00,afternoon,chain,cbd,mid,Monday,weekday,yes,Male,,,,
nakumatt,1,1,2457,card,2017-05-06,no,20:32:00,night,chain,cbd,mid,Monday,weekday,yes,Female,,,,
tuskys,1,1,2393,card,2017-05-06,no,20:16:00,night,chain,cbd,mid,Monday,weekday,no,Male,,,,
tuskys,5,2,2479,mpesa,2017-05-06,no,19:22:00,night,chain,cbd,mid,Monday,weekday,no,Female,,,,
nakumatt,1,1,2483,card,2017-05-06,no,19:28:00,night,chain,cbd,mid,Monday,weekday,yes,Male,,,,
nakumatt,1,1,2409,card,2017-05-06,no,20:05:00,night,chain,cbd,mid,Monday,weekday,yes,Male,,,,
nakumatt,6,4,2432,card,2017-05-06,no,19:43:00,night,chain,cbd,mid,Monday,weekday,yes,Male,,,,
ukwala,1,1,2417,card,2017-05-06,no,19:27:00,night,median,cbd,mid,Monday,weekday,no,Female,,,,
acacia,2,1,2435,card,2017-05-06,no,18:05:00,afternoon,small,saika,mid,Monday,weekday,no,Female,,,,
tuskys,4,2,2431,card,2017-05-29,no,16:21:00,afternoon,chain,cbd,mid,Monday,weekday,no,Male,,,,
cleanshelf,1,1,2250,card,2017-08-21,no,22:19:00,night,chain,Westlands,mid,Monday,weekday,no,Male,,,,
nakumatt,3,1,2439,card,2017-08-28,yes,21:06:00,night,chain,junction,mid,Monday,weekday,no,Female,,,,
nakumatt,1,1,2416,mpesa,2017-08-28,yes,21:03:00,night,chain,junction,mid,Monday,weekday,no,Female,,,,
nakumatt,1,1,2394,card,2017-06-19,no,14:36:00,afternoon,chain,cbd,mid,Monday,weekday,yes,Male,,,,
nakumatt,1,1,2458,card,2017-06-30,no,21:22:00,night,chain,cbd,mid,Monday,weekday,yes,Female,,,,
nakumatt,1,1,2453,card,2017-07-30,no,21:09:00,night,chain,cbd,mid,Monday,weekday,yes,Male,,,,
nakumatt,2,2,2442,card,2017-12-06,yes,18:39:00,evening,chain,junction,mid,Monday,weekday,no,Female,,,,
nakumatt,1,1,2459,card,2017-07-17,no,11:26:00,morning,chain,cbd,mid,Monday,weekday,yes,Female,,,,
nakumatt,1,1,2456,card,2017-06-16,no,14:15:00,afternoon,chain,karen,high,Monday,weekday,no,Female,,,,
nakumatt,2,1,2452,card,2017-11-06,no,19:58:00,night,chain,karen,high,Monday,weekday,no,Male,,,,
nakumatt,1,1,2471,card,2017-06-19,no,12:42:00,afternoon,chain,cbd,mid,Monday,weekday,no,Male,,,,
nakumatt,2,2,2442,card,2017-06-19,no,16:39:00,evening,chain,cbd,mid,Monday,weekday,no,Female,,,,
nakumatt,1,1,2471,card,2017-06-19,no,13:55:00,afternoon,chain,cbd,mid,Monday,weekday,no,Male,,,,
nakumatt,1,1,2467,card,2017-06-19,no,18:42:00,evening,chain,cbd,mid,Monday,weekday,no,Female,,,,
nakumatt,1,1,2465,card,2017-06-19,no,15:13:00,afternoon,chain,cbd,mid,Monday,weekday,no,Female,,,,
tuskys,21,5,2460,card,2017-10-07,no,21:36:00,night,chain,cbd,mid,Monday,weekday,no,Male,,,,
tuskys,1,1,2402,card,2017-05-29,no,11:36:00,morning,chain,cbd,mid,Monday,weekday,no,Male,,,,
nakumatt,1,1,2461,card,2017-06-19,no,14:25:00,afternoon,chain,cbd,mid,Monday,weekday,no,Male,,,,
Carrefour,4,4,2496,card,2017-10-16,no,14:13:00,afternoon,chain,Westlands,mid,Monday,weekday,no,Female,,,,
nakumatt,1,1,2465,card,2017-05-15,yes,14:30:00,afternoon,chain,junction,mid,Monday,weekday,no,Female,,,,
nakumatt,3,1,2434,card,2017-08-28,yes,21:06:00,night,chain,junction,mid,Monday,weekday,no,Male,,,,
nakumatt,1,1,2443,mpesa,2017-08-28,yes,21:03:00,night,chain,junction,mid,Monday,weekday,no,Female,,,,
acacia,1,1,2459,card,2017-05-22,no,15:07:00,afternoon,small,saika,mid,Monday,weekday,no,Female,,,,
tuskys,4,1,2463,card,2017-05-22,no,13:32:00,afternoon,chain,cbd,mid,Monday,weekday,no,Female,,,,
naivas,1,1,2436,card,2017-05-22,no,12:23:00,afternoon,chain,umoja,mid,Monday,weekday,no,Female,,,,
naivas,1,1,2424,card,2017-05-22,no,14:00:00,afternoon,chain,umoja,mid,Monday,weekday,no,Female,,,,
naivas,2,1,2479,card,2017-05-22,no,14:36:00,afternoon,chain,umoja,mid,Monday,weekday,no,Male,,,,
naivas,4,2,2449,card,2017-05-22,no,14:26:00,afternoon,chain,umoja,mid,Monday,weekday,no,Male,,,,
tuskys,21,5,2468,card,2017-10-07,no,21:36:00,night,chain,cbd,mid,Monday,weekday,no,Female,,,,
tuskys,1,1,2459,card,2017-05-29,no,11:36:00,morning,chain,cbd,mid,Monday,weekday,no,Female,,,,
nakumatt,1,1,2466,card,2017-06-19,no,14:25:00,afternoon,chain,cbd,mid,Monday,weekday,no,Male,,,,
tuskys,2,1,2479,card,2017-05-22,no,14:43:00,afternoon,chain,cbd,mid,Monday,weekday,no,Female,,,,
chandarana,1,1,2454,card,2017-05-23,no,14:12:00,afternoon,small,cbd,high,Monday,weekday,no,Female,,,,
acacia,1,1,2436,card,2017-05-22,no,14:01:00,afternoon,small,saika,mid,Monday,weekday,no,Male,,,,
acacia,1,1,2455,card,2017-05-22,no,19:12:00,night,small,saika,mid,Monday,weekday,no,Male,,,,
acacia,1,1,2478,card,2017-05-22,no,15:23:00,afternoon,small,saika,mid,Monday,weekday,no,Female,,,,
acacia,1,1,2448,card,2017-05-22,no,13:14:00,afternoon,small,saika,mid,Monday,weekday,no,Female,,,,
acacia,1,1,2410,card,2017-05-22,no,13:21:00,afternoon,small,saika,mid,Monday,weekday,no,Male,,,,
acacia,1,1,2475,card,2017-05-22,no,14:10:00,afternoon,small,saika,mid,Monday,weekday,no,Male,,,,
ukwala,4,2,2446,card,2017-06-19,no,08:26:00,morning,chain,cbd,mid,Monday,weekday,no,Male,,,,
tuskys,6,1,2466,card,2017-06-19,no,08:10:00,morning,chain,cbd,mid,Monday,weekday,no,Female,,,,
nakumatt,1,1,2462,card,2017-06-19,no,04:57:00,morning,chain,cbd,mid,Monday,weekday,yes,Female,,,,
ukwala,14,3,2401,card,2016-11-28,no,19:26:00,night,chain,cbd,mid,Monday,weekday,no,Male,,,,
karrymart,1,1,2464,card,2017-06-19,no,04:30:00,morning,chain,cbd,mid,Monday,weekday,no,Male,,,,
nakumatt,2,2,2439,card,2017-06-19,no,09:00:00,morning,chain,cbd,mid,Monday,weekday,no,Male,,,,
nakumatt,2,3,2448,card,2017-07-17,yes,21:00:00,night,chain,junction,mid,Monday,weekday,no,Male,,,,
acacia,1,1,2468,card,2017-05-20,no,19:33:00,night,small,saika,mid,Saturday,weekend,no,Female,,,,
acacia,1,1,2443,card,2017-05-20,no,19:12:00,night,small,saika,mid,Saturday,weekend,no,Female,,,,
acacia,3,1,2422,card,2017-05-20,no,19:16:00,night,small,saika,mid,Saturday,weekend,no,Male,,,,
acacia,3,1,2458,card,2017-05-20,no,19:12:00,night,small,saika,mid,Saturday,weekend,no,Female,,,,
acacia,1,1,2497,card,2017-05-20,no,18:31:00,afternoon,small,saika,mid,Saturday,weekend,no,Female,,,,
acacia,1,1,2475,card,2017-05-20,no,18:23:00,afternoon,small,saika,mid,Saturday,weekend,no,Female,,,,
nakumatt,3,1,2453,card,2016-08-20,no,09:07:00,morning,chain,cbd,mid,Saturday,weekend,yes,Female,,,,
naivas,1,1,2463,card,2017-05-20,no,19:37:00,night,chain,umoja,mid,Saturday,weekend,no,Female,,,,
tuskys,3,2,2432,card,2017-05-20,yes,12:56:00,afternoon,chain,donholm,mid,Saturday,weekend,no,Female,,,,
tuskys,2,1,2426,card,2017-05-13,yes,19:50:00,night,chain,donholm,mid,Saturday,weekend,no,Male,,,,
tuskys,8,1,2469,card,2017-05-20,yes,20:28:00,night,chain,donholm,mid,Saturday,weekend,no,Female,,,,
tuskys,2,1,2472,card,2017-05-20,yes,16:26:00,afternoon,chain,donholm,mid,Saturday,weekend,no,Female,,,,
tuskys,2,1,2430,card,2017-05-17,no,11:52:00,morning,chain,cbd,mid,Saturday,weekend,no,Male,,,,
acacia,4,2,2448,mpesa,2017-10-06,no,20:15:00,night,small,saika,mid,Saturday,weekend,no,Female,,,,
acacia,2,3,2474,card,2017-10-06,no,19:10:00,night,small,saika,mid,Saturday,weekend,no,Female,,,,
acacia,1,3,2432,card,2017-10-06,no,19:03:00,night,small,saika,mid,Saturday,weekend,no,Male,,,,
acacia,3,2,2457,card,2017-10-06,no,20:05:00,night,small,saika,mid,Saturday,weekend,no,Male,,,,
acacia,1,3,2472,card,2017-10-06,no,18:12:00,afternoon,small,saika,mid,Saturday,weekend,no,Male,,,,
acacia,4,2,2445,card,2017-10-06,no,19:55:00,night,small,saika,mid,Saturday,weekend,no,Male,,,,
tuskys,1,3,2445,card,2017-06-24,no,14:19:00,afternoon,chain,cbd,mid,Saturday,weekend,no,Male,,,,
nakumatt,1,3,2476,card,2017-06-24,no,12:21:00,afternoon,chain,cbd,mid,Saturday,weekend,yes,Male,,,,
tuskys,3,2,2457,card,2017-06-24,no,13:58:00,afternoon,chain,cbd,mid,Saturday,weekend,no,Female,,,,
Carrefour,1,3,2490,card,2017-08-26,no,14:06:00,afternoon,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,2,3,2433,card,2017-08-26,no,18:00:00,evening,chain,Westlands,mid,Saturday,weekend,no,Male,,,,
Carrefour,1,3,2467,card,2017-08-26,no,13:12:00,afternoon,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,4,2,2461,card,2017-08-26,no,15:41:00,afternoon,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,2,3,2473,card,2017-08-26,no,17:13:00,evening,chain,Westlands,mid,Saturday,weekend,no,Male,,,,
Carrefour,1,3,2477,card,2017-08-26,no,14:31:00,afternoon,chain,Westlands,mid,Saturday,weekend,no,Male,,,,
Carrefour,2,3,2451,mpesa,2017-08-26,no,14:30:00,afternoon,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,2,3,2466,card,2017-08-26,no,17:59:00,evening,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,1,3,2493,card,2017-08-26,no,17:15:00,evening,chain,Westlands,mid,Saturday,weekend,no,Male,,,,
Carrefour,4,2,2487,card,2017-08-26,no,16:26:00,evening,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,2,3,2414,card,2017-08-26,no,14:31:00,afternoon,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,4,2,2468,card,2017-08-26,no,17:49:00,evening,chain,Westlands,mid,Saturday,weekday,no,Male,,,,
Carrefour,4,2,2461,card,2017-08-26,no,16:28:00,evening,chain,Westlands,mid,Saturday,weekend,no,Male,,,,
Carrefour,1,3,2472,card,2017-08-26,no,16:44:00,evening,chain,Westlands,mid,Saturday,weekend,no,Male,,,,
Carrefour,1,3,2468,card,2017-08-26,no,14:11:00,afternoon,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,1,3,2470,card,2017-08-26,no,11:12:00,morning,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,2,3,2474,card,2017-08-26,no,12:01:00,afternoon,chain,Westlands,mid,Saturday,weekend,no,Male,,,,
Carrefour,2,2,2483,card,2017-08-26,no,11:18:00,morning,chain,Westlands,mid,Saturday,weekend,no,Male,,,,
Carrefour,3,3,2485,card,2017-08-26,no,16:31:00,evening,chain,Westlands,mid,Saturday,weekend,no,Male,,,,
Carrefour,2,3,2455,card,2017-08-26,no,16:59:00,evening,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,1,3,2467,card,2017-08-26,no,12:33:00,afternoon,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,3,2,2482,mpesa,2017-08-26,no,13:36:00,afternoon,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,2,2,2490,card,2017-08-26,no,14:36:00,afternoon,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,1,3,2472,card,2017-08-26,no,15:13:00,afternoon,chain,Westlands,mid,Saturday,weekend,no,Male,,,,
Carrefour,1,3,2459,card,2017-08-26,no,18:24:00,evening,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,1,3,2482,card,2017-08-26,no,17:44:00,evening,chain,Westlands,mid,Saturday,weekend,no,Male,,,,
Carrefour,5,2,2490,mpesa,2017-08-26,no,17:35:00,evening,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,2,2,2449,card,2017-08-26,no,14:49:00,afternoon,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,16,5,2494,mpesa,2017-08-26,no,15:38:00,afternoon,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,7,2,2448,card,2017-08-26,no,16:14:00,evening,chain,Westlands,mid,Saturday,weekend,no,Male,,,,
Carrefour,5,2,2478,card,2017-08-26,no,16:54:00,evening,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,2,3,2446,card,2017-08-26,no,17:15:00,evening,chain,Westlands,mid,Saturday,weekend,no,Male,,,,
Carrefour,2,2,2485,card,2017-08-26,no,17:02:00,evening,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,4,3,2452,card,2017-08-26,no,17:08:00,evening,chain,Westlands,mid,Saturday,weekend,no,Male,,,,
Carrefour,4,2,2449,mpesa,2017-08-26,no,15:58:00,afternoon,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,7,4,2443,card,2017-08-26,no,15:59:00,afternoon,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,6,2,2467,card,2017-08-26,no,14:42:00,afternoon,chain,Westlands,mid,Saturday,weekend,no,Male,,,,
Carrefour,2,3,2483,mpesa,2017-08-26,no,16:29:00,evening,chain,Westlands,mid,Saturday,weekend,no,Male,,,,
Carrefour,4,3,2496,card,2017-08-26,no,17:23:00,evening,chain,Westlands,mid,Saturday,weekend,no,Male,,,,
Carrefour,3,2,2481,card,2017-08-26,no,15:20:00,afternoon,chain,Westlands,mid,Saturday,weekend,no,Male,,,,
Carrefour,1,3,2490,card,2017-08-26,no,15:10:00,afternoon,chain,Westlands,mid,Saturday,weekend,no,Male,,,,
Carrefour,1,3,2485,card,2017-08-26,no,14:36:00,afternoon,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,3,2,2471,card,2017-08-26,no,15:55:00,afternoon,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,2,3,2462,card,2017-08-26,no,15:43:00,afternoon,chain,Westlands,mid,Saturday,weekend,no,Male,,,,
Carrefour,2,3,2484,card,2017-08-26,no,17:40:00,afternoon,chain,Westlands,mid,Saturday,weekend,no,Male,,,,
Carrefour,1,3,2458,card,2017-08-26,no,12:46:00,afternoon,chain,Westlands,mid,Saturday,weekend,no,Male,,,,
Carrefour,4,3,2447,card,2017-08-26,no,17:05:00,evening,chain,Westlands,mid,Saturday,weekend,no,Male,,,,
Carrefour,3,2,2469,card,2017-08-26,no,18:33:00,evening,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,2,2,2472,card,2017-08-26,no,18:20:00,evening,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,4,2,2478,card,2017-08-26,no,13:46:00,evening,chain,Westlands,mid,Saturday,weekend,no,Male,,,,
Carrefour,2,2,2467,card,2017-08-26,no,18:32:00,evening,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,6,2,2442,card,2017-08-26,no,18:34:00,evening,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,1,3,2464,card,2017-08-26,no,18:13:00,evening,chain,Westlands,mid,Saturday,weekend,no,Male,,,,
Carrefour,2,3,2481,card,2017-08-26,no,17:09:00,evening,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,4,3,2493,card,2017-08-26,no,17:10:00,evening,chain,Westlands,mid,Saturday,weekend,no,Male,,,,
Carrefour,1,3,2451,card,2017-08-26,no,15:27:00,afternoon,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,2,3,2476,card,2017-08-26,no,13:42:00,afternoon,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,2,3,2477,card,2017-08-26,no,16:19:00,evening,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,1,3,2472,card,2017-08-26,no,15:45:00,afternoon,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,1,3,2474,card,2017-08-26,no,15:40:00,afternoon,chain,Westlands,mid,Saturday,weekend,no,Male,,,,
Carrefour,2,2,2496,card,2017-08-26,no,17:10:00,evening,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,4,2,2482,mpesa,2017-08-26,no,17:27:00,evening,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,2,3,2464,card,2017-08-26,no,16:17:00,evening,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,3,3,2496,card,2017-08-26,no,12:57:00,afternoon,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,1,3,2478,card,2017-08-26,no,15:44:00,afternoon,chain,Westlands,mid,Saturday,weekend,no,Male,,,,
Carrefour,4,2,2472,card,2017-08-26,no,15:12:00,afternoon,chain,Westlands,mid,Saturday,weekend,no,Male,,,,
Carrefour,1,3,2472,mpesa,2017-08-26,no,09:23:00,morning,chain,Westlands,mid,Saturday,weekend,no,Male,,,,
Carrefour,22,2,2471,card,2017-08-26,no,17:54:00,evening,chain,Westlands,mid,Saturday,weekend,no,Male,,,,
Carrefour,1,3,2454,card,2017-08-26,no,16:37:00,evening,chain,Westlands,mid,Saturday,weekend,no,Male,,,,
Carrefour,2,3,2441,card,2017-08-26,no,16:33:00,evening,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,22,3,2464,card,2017-08-26,no,16:43:00,evening,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,1,3,2450,card,2017-08-26,no,16:50:00,evening,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,4,3,2470,mpesa,2017-08-26,no,17:40:00,evening,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,1,3,2452,card,2017-08-26,no,17:40:00,evening,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,2,2,2487,card,2017-08-26,no,17:46:00,evening,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,1,3,2486,card,2017-08-26,no,16:14:00,evening,chain,Westlands,mid,Saturday,weekend,no,Male,,,,
Carrefour,1,3,2447,card,2017-08-26,no,16:44:00,evening,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,11,3,2508,mpesa,2017-08-26,no,17:40:00,evening,chain,Westlands,mid,Saturday,weekend,no,Male,,,,
Carrefour,1,3,2493,mpesa,2017-08-26,no,16:47:00,evening,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,22,2,2469,card,2017-08-26,no,16:42:00,evening,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,2,3,2466,card,2017-08-26,no,15:57:00,evening,chain,Westlands,mid,Saturday,weekend,no,Female,,,,
Carrefour,22,3,2478,card,2017-08-26,no,13:51:00,afternoon,chain,Westlands,mid,Saturday,weekend,no,Male,,,,
